delay,pdf_c9_mapped_timing,pdf_c3_mapped_timing,pdf_c2_mapped_timing,pdf_c7_mapped_timing,pdf_c1_mapped_timing,pdf_c4_mapped_timing,pdf_c5_mapped_timing,pdf_c8_mapped_timing,pdf_c6_mapped_timing
0.00000000E+00,0.00009412,0.00000055,0.00000001,0.00005781,0.00000000,0.00000915,0.00000956,0.00010541,0.00002916
1.00000000E-03,0.00009406,0.00000055,0.00000001,0.00005777,0.00000000,0.00000915,0.00000956,0.00010534,0.00002914
2.00000000E-03,0.00009400,0.00000055,0.00000001,0.00005774,0.00000000,0.00000914,0.00000955,0.00010527,0.00002912
3.00000000E-03,0.00009394,0.00000055,0.00000001,0.00005770,0.00000000,0.00000914,0.00000955,0.00010520,0.00002911
4.00000000E-03,0.00009388,0.00000055,0.00000001,0.00005766,0.00000000,0.00000914,0.00000954,0.00010513,0.00002909
5.00000000E-03,0.00009382,0.00000055,0.00000001,0.00005763,0.00000009,0.00000913,0.00000954,0.00010506,0.00002907
6.00000000E-03,0.00009376,0.00000055,0.00000001,0.00005759,0.00000161,0.00000913,0.00000953,0.00010499,0.00002906
7.00000000E-03,0.00009370,0.00000055,0.00000001,0.00005756,0.00001469,0.00000912,0.00000953,0.00010492,0.00002904
8.00000000E-03,0.00009364,0.00000055,0.00000001,0.00005752,0.00008246,0.00000912,0.00000952,0.00010486,0.00002902
9.00000000E-03,0.00009358,0.00000055,0.00000001,0.00005749,0.00032901,0.00000911,0.00000952,0.00010479,0.00002901
1.00000000E-02,0.00009352,0.00000055,0.00000001,0.00005745,0.00102258,0.00000911,0.00000951,0.00010472,0.00002899
1.10000000E-02,0.00009346,0.00000055,0.00000001,0.00005742,0.00263245,0.00000910,0.00000951,0.00010465,0.00002897
1.20000000E-02,0.00009340,0.00000055,0.00000001,0.00005738,0.00585807,0.00000910,0.00000950,0.00010458,0.00002896
1.30000000E-02,0.00009334,0.00000055,0.00000001,0.00005735,0.01161963,0.00000909,0.00000950,0.00010451,0.00002894
1.40000000E-02,0.00009328,0.00000055,0.00000001,0.00005731,0.02101269,0.00000909,0.00000949,0.00010444,0.00002892
1.50000000E-02,0.00009322,0.00000055,0.00000001,0.00005728,0.03523802,0.00000908,0.00000949,0.00010438,0.00002891
1.60000000E-02,0.00009316,0.00000055,0.00000001,0.00005724,0.05552082,0.00000908,0.00000948,0.00010431,0.00002889
1.70000000E-02,0.00009310,0.00000055,0.00000001,0.00005721,0.08303217,0.00000907,0.00000948,0.00010424,0.00002887
1.80000000E-02,0.00009304,0.00000055,0.00000001,0.00005717,0.11882170,0.00000907,0.00000947,0.00010417,0.00002886
1.90000000E-02,0.00009298,0.00000055,0.00000002,0.00005714,0.16376630,0.00000906,0.00000947,0.00010410,0.00002884
